pkey,id,date,security,asset,liability
396,267,2002-06-30,19477,130092,88838
397,267,2002-09-30,14956,130412,86876
398,267,2002-12-31,5252,135120,90815
399,275,2002-03-31,22,107579,95610
400,275,2002-06-30,20,107052,94772
401,275,2002-09-30,19,109002,96375
402,275,2002-12-31,18,113925,101225
403,278,2002-03-31,35803,230871,205762
404,278,2002-06-30,33738,243366,217212
405,278,2002-09-30,31021,260695,233643
406,278,2002-12-31,32796,249574,222794
407,281,2002-03-31,13268,96473,89167
408,281,2002-06-30,15907,95420,87633
409,281,2002-09-30,14902,96458,88443
410,281,2002-12-31,16741,98809,90566
411,284,2002-03-31,66,54908,51139
412,284,2002-06-30,38,54720,50532
413,284,2002-09-30,25,54452,49854
414,284,2002-12-31,16,55429,51033
415,285,2002-03-31,4474,45125,41650
416,285,2002-06-30,4246,43462,39757
417,285,2002-09-30,3929,42740,38931
418,285,2002-12-31,3641,42613,38934
419,287,2002-03-31,44455,314632,287702
420,287,2002-06-30,48194,312232,284112
421,287,2002-09-30,55136,312104,283039
422,287,2002-12-31,51396,319777,290194
423,288,2002-03-31,4206,37758,34370
424,288,2002-06-30,5401,37022,33547
425,288,2002-09-30,5331,37924,34434
426,288,2002-12-31,4030,38301,34765
427,289,2002-03-31,0,117596,102320
428,289,2002-06-30,0,118852,103213
429,289,2002-09-30,0,127881,111965
430,289,2002-12-31,0,128132,111781
431,291,2002-03-31,2950,102524,84168
432,291,2002-06-30,2623,101184,82346
433,291,2002-09-30,2326,102340,83071
434,291,2002-12-31,2038,106215,87054
435,292,2002-03-31,23736,231699,212135
436,292,2002-06-30,29574,232962,213276
437,292,2002-09-30,38194,281852,257275
438,292,2002-12-31,35292,284531,259882
439,296,2002-03-31,3756,144743,130023
440,296,2002-06-30,3466,145790,130699
441,296,2002-09-30,3046,149647,133930
442,296,2002-12-31,2410,149017,133265
443,297,2002-03-31,702,55495,48805
444,297,2002-06-30,676,55935,48694
445,297,2002-09-30,665,56421,49048
446,297,2002-12-31,623,57761,50232
447,303,2002-03-31,0,109253,98002
448,303,2002-06-30,0,108383,96730
449,303,2002-09-30,0,108341,96392
450,303,2002-12-31,0,111034,98970
451,304,2002-03-31,0,39429,32399
452,304,2002-06-30,0,39349,32557
